item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,3.67
buy_1_vol,2424300
buy_2,3.66
buy_2_vol,5500
buy_3,3.65
buy_3_vol,5500
buy_4,3.64
buy_4_vol,5500
buy_5,3.63
buy_5_vol,5500
最新,3.67
均价,3.46
涨幅,29.68
涨跌,0.84
总手,115914
金额,40124588.4
换手,11.67
量比,8.7
最高,3.67
最低,2.85
今开,2.85
昨收,2.83
涨停,3.67
跌停,1.99
外盘,52987
内盘,62927
