item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,20.33
buy_1_vol,3080700
buy_2,20.32
buy_2_vol,1400
buy_3,20.31
buy_3_vol,2000
buy_4,20.3
buy_4_vol,4000
buy_5,20.29
buy_5_vol,1300
最新,20.33
均价,20.24
涨幅,10.01
涨跌,1.85
总手,357602
金额,723683982.1
换手,17.1
量比,3.39
最高,20.33
最低,19.52
今开,19.53
昨收,18.48
涨停,20.33
跌停,16.63
外盘,107389
内盘,250213
