item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.44
buy_1_vol,7558600
buy_2,1.43
buy_2_vol,363100
buy_3,1.42
buy_3_vol,425000
buy_4,1.41
buy_4_vol,86000
buy_5,1.4
buy_5_vol,191600
最新,1.44
均价,1.39
涨幅,9.92
涨跌,0.13
总手,455936
金额,63440773.0
换手,2.83
量比,1.56
最高,1.44
最低,1.33
今开,1.34
昨收,1.31
涨停,1.44
跌停,1.18
外盘,290305
内盘,165631
