item,value
sell_5,14.08
sell_5_vol,41900
sell_4,14.07
sell_4_vol,17900
sell_3,14.06
sell_3_vol,6500
sell_2,14.05
sell_2_vol,200
sell_1,14.04
sell_1_vol,478200
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,14.04
均价,14.63
涨幅,-10.0
涨跌,-1.56
总手,112984
金额,165328013.0
换手,5.23
量比,1.63
最高,15.66
最低,14.04
今开,15.66
昨收,15.6
涨停,17.16
跌停,14.04
外盘,60398
内盘,52586
