item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,36.1
buy_1_vol,714800
buy_2,36.09
buy_2_vol,33200
buy_3,36.08
buy_3_vol,3000
buy_4,36.06
buy_4_vol,5200
buy_5,36.05
buy_5_vol,800
最新,36.1
均价,35.2
涨幅,9.99
涨跌,3.28
总手,139958
金额,492597585.2
换手,3.6
量比,2.07
最高,36.1
最低,33.33
今开,33.33
昨收,32.82
涨停,36.1
跌停,29.54
外盘,72749
内盘,67209
