item,value
sell_5,13.18
sell_5_vol,5600
sell_4,13.17
sell_4_vol,1000
sell_3,13.16
sell_3_vol,21200
sell_2,13.15
sell_2_vol,40800
sell_1,13.14
sell_1_vol,1677000
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,13.14
均价,13.37
涨幅,-10.0
涨跌,-1.46
总手,845999
金额,1131426151.85
换手,18.23
量比,1.04
最高,14.6
最低,13.14
今开,14.45
昨收,14.6
涨停,16.06
跌停,13.14
外盘,354234
内盘,491764
