item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,8.38
buy_1_vol,5507300
buy_2,8.37
buy_2_vol,30300
buy_3,8.36
buy_3_vol,81700
buy_4,8.35
buy_4_vol,26900
buy_5,8.34
buy_5_vol,21000
最新,8.38
均价,8.24
涨幅,9.97
涨跌,0.76
总手,1280106
金额,1054271195.31
换手,13.0
量比,0.82
最高,8.38
最低,7.63
今开,7.78
昨收,7.62
涨停,8.38
跌停,6.86
外盘,453778
内盘,826328
