item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.41
buy_1_vol,16518000
buy_2,1.4
buy_2_vol,173600
buy_3,1.39
buy_3_vol,39500
buy_4,1.38
buy_4_vol,257800
buy_5,1.37
buy_5_vol,73800
最新,1.41
均价,1.41
涨幅,5.22
涨跌,0.07
总手,64547
金额,9101103.03
换手,0.24
量比,0.1
最高,1.41
最低,1.41
今开,1.41
昨收,1.34
涨停,1.41
跌停,1.27
外盘,-
内盘,64547
