item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,4.55
buy_1_vol,2042300
buy_2,4.54
buy_2_vol,21900
buy_3,4.53
buy_3_vol,33200
buy_4,4.52
buy_4_vol,59400
buy_5,4.51
buy_5_vol,90800
最新,4.55
均价,4.44
涨幅,9.9
涨跌,0.41
总手,234272
金额,103956927.0
换手,1.37
量比,2.38
最高,4.55
最低,4.32
今开,4.34
昨收,4.14
涨停,4.55
跌停,3.73
外盘,134138
内盘,100134
