item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,14.52
buy_1_vol,4758900
buy_2,14.51
buy_2_vol,68100
buy_3,14.5
buy_3_vol,8500
buy_4,14.49
buy_4_vol,2600
buy_5,14.48
buy_5_vol,15600
最新,14.52
均价,14.16
涨幅,10.0
涨跌,1.32
总手,403258
金额,570854341.49
换手,3.49
量比,2.47
最高,14.52
最低,13.63
今开,13.67
昨收,13.2
涨停,14.52
跌停,11.88
外盘,191231
内盘,212027
