item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,0.96
sell_3_vol,299100
sell_2,0.95
sell_2_vol,533500
sell_1,0.94
sell_1_vol,109000
buy_1,0.93
buy_1_vol,33300
buy_2,0.92
buy_2_vol,106000
buy_3,0.91
buy_3_vol,19800
buy_4,0.9
buy_4_vol,160600
buy_5,0.89
buy_5_vol,65900
最新,0.93
均价,0.94
涨幅,2.2
涨跌,0.02
总手,56055
金额,5265249.24
换手,0.92
量比,0.47
最高,0.96
最低,0.9
今开,0.9
昨收,0.91
涨停,0.96
跌停,0.86
外盘,31161
内盘,24894
