item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,11.35
buy_1_vol,6067300
buy_2,11.34
buy_2_vol,1100
buy_3,11.33
buy_3_vol,2100
buy_4,11.32
buy_4_vol,900
buy_5,11.31
buy_5_vol,100
最新,11.35
均价,11.02
涨幅,9.98
涨跌,1.03
总手,71989
金额,79325126.0
换手,4.21
量比,0.57
最高,11.35
最低,10.57
今开,10.57
昨收,10.32
涨停,11.35
跌停,9.29
外盘,36248
内盘,35741
