item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.75
buy_1_vol,849500
buy_2,1.74
buy_2_vol,132100
buy_3,1.73
buy_3_vol,113100
buy_4,1.72
buy_4_vol,107500
buy_5,1.71
buy_5_vol,152000
最新,1.75
均价,1.73
涨幅,4.79
涨跌,0.08
总手,51929
金额,9006084.0
换手,1.2
量比,0.76
最高,1.75
最低,1.67
今开,1.7
昨收,1.67
涨停,1.75
跌停,1.59
外盘,24743
内盘,27186
