item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,6.4
buy_1_vol,1045400
buy_2,6.39
buy_2_vol,23400
buy_3,6.38
buy_3_vol,78700
buy_4,6.37
buy_4_vol,2900
buy_5,6.36
buy_5_vol,27600
最新,6.4
均价,6.22
涨幅,9.97
涨跌,0.58
总手,1290569
金额,802735610.65
换手,7.99
量比,7.35
最高,6.4
最低,5.73
今开,5.77
昨收,5.82
涨停,6.4
跌停,5.24
外盘,766181
内盘,524389
