item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,80.63
buy_1_vol,384700
buy_2,80.62
buy_2_vol,4500
buy_3,80.6
buy_3_vol,600
buy_4,80.59
buy_4_vol,700
buy_5,80.56
buy_5_vol,100
最新,80.63
均价,77.14
涨幅,10.0
涨跌,7.33
总手,149351
金额,1152084865.0
换手,2.48
量比,1.53
最高,80.63
最低,72.0
今开,73.8
昨收,73.3
涨停,80.63
跌停,65.97
外盘,94643
内盘,54708
