item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,1.35
sell_3_vol,1878300
sell_2,1.34
sell_2_vol,730900
sell_1,1.33
sell_1_vol,1173000
buy_1,1.32
buy_1_vol,105000
buy_2,1.31
buy_2_vol,826800
buy_3,1.3
buy_3_vol,120800
buy_4,1.29
buy_4_vol,217300
buy_5,1.28
buy_5_vol,422500
最新,1.32
均价,1.3
涨幅,2.33
涨跌,0.03
总手,210282
金额,27378149.99
换手,2.77
量比,0.71
最高,1.33
最低,1.27
今开,1.3
昨收,1.29
涨停,1.35
跌停,1.23
外盘,98960
内盘,111322
