item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,3.25
buy_1_vol,16856700
buy_2,3.24
buy_2_vol,110700
buy_3,3.23
buy_3_vol,44900
buy_4,3.22
buy_4_vol,58400
buy_5,3.21
buy_5_vol,454200
最新,3.25
均价,3.17
涨幅,10.17
涨跌,0.3
总手,570278
金额,180498934.4
换手,5.44
量比,2.03
最高,3.25
最低,2.99
今开,2.99
昨收,2.95
涨停,3.25
跌停,2.66
外盘,329563
内盘,240715
