item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,3.53
buy_1_vol,5235900
buy_2,3.52
buy_2_vol,13300
buy_3,3.51
buy_3_vol,15700
buy_4,3.5
buy_4_vol,33300
buy_5,3.49
buy_5_vol,22100
最新,3.53
均价,3.53
涨幅,5.06
涨跌,0.17
总手,25199
金额,8895331.72
换手,0.47
量比,0.13
最高,3.53
最低,3.53
今开,3.53
昨收,3.36
涨停,3.53
跌停,3.19
外盘,-
内盘,25199
