item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,35.16
buy_1_vol,361100
buy_2,35.15
buy_2_vol,15500
buy_3,35.14
buy_3_vol,3100
buy_4,35.13
buy_4_vol,200
buy_5,35.12
buy_5_vol,300
最新,35.16
均价,34.37
涨幅,20.0
涨跌,5.86
总手,327295
金额,1124867510.94
换手,39.86
量比,1.81
最高,35.16
最低,30.4
今开,30.4
昨收,29.3
涨停,35.16
跌停,23.44
外盘,131552
内盘,195742
