item,value
sell_5,6.03
sell_5_vol,11200
sell_4,6.0
sell_4_vol,645000
sell_3,5.98
sell_3_vol,103300
sell_2,5.97
sell_2_vol,610400
sell_1,5.96
sell_1_vol,2800
buy_1,5.89
buy_1_vol,70200
buy_2,5.88
buy_2_vol,66900
buy_3,5.87
buy_3_vol,17100
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,5.89
均价,6.04
涨幅,-4.69
涨跌,-0.29
总手,37893
金额,22893675.0
换手,1.65
量比,1.3
最高,6.25
最低,5.89
今开,6.25
昨收,6.18
涨停,6.49
跌停,5.87
外盘,19586
内盘,18307
