item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,4.66
buy_1_vol,3564900
buy_2,4.65
buy_2_vol,11600
buy_3,4.61
buy_3_vol,14000
buy_4,4.6
buy_4_vol,500
buy_5,4.59
buy_5_vol,1700
最新,4.66
均价,4.48
涨幅,9.91
涨跌,0.42
总手,78422
金额,35170663.0
换手,1.2
量比,1.66
最高,4.66
最低,4.31
今开,4.31
昨收,4.24
涨停,4.66
跌停,3.82
外盘,42763
内盘,35659
