item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,5.78
buy_1_vol,4479800
buy_2,5.77
buy_2_vol,93400
buy_3,5.76
buy_3_vol,141200
buy_4,5.75
buy_4_vol,128200
buy_5,5.74
buy_5_vol,81200
最新,5.78
均价,5.72
涨幅,10.1
涨跌,0.53
总手,352206
金额,201319966.71
换手,3.84
量比,2.67
最高,5.78
最低,5.57
今开,5.7
昨收,5.25
涨停,5.78
跌停,4.73
外盘,186377
内盘,165829
