item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.82
buy_1_vol,261800
buy_2,1.81
buy_2_vol,544600
buy_3,1.8
buy_3_vol,32000
buy_4,1.79
buy_4_vol,67400
buy_5,1.78
buy_5_vol,173300
最新,1.82
均价,1.8
涨幅,5.2
涨跌,0.09
总手,27539
金额,4967847.2
换手,0.33
量比,0.85
最高,1.82
最低,1.73
今开,1.73
昨收,1.73
涨停,1.82
跌停,1.64
外盘,16620
内盘,10919
