item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,3.88
buy_1_vol,21046100
buy_2,3.87
buy_2_vol,387400
buy_3,3.86
buy_3_vol,73700
buy_4,3.85
buy_4_vol,71900
buy_5,3.84
buy_5_vol,73500
最新,3.88
均价,3.85
涨幅,9.92
涨跌,0.35
总手,2516834
金额,967783655.0
换手,16.1
量比,3.42
最高,3.88
最低,3.71
今开,3.8
昨收,3.53
涨停,3.88
跌停,3.18
外盘,1021692
内盘,1495141
