item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,9.48
buy_1_vol,2883000
buy_2,9.47
buy_2_vol,100500
buy_3,9.46
buy_3_vol,7200
buy_4,9.45
buy_4_vol,12700
buy_5,9.44
buy_5_vol,900
最新,9.48
均价,9.47
涨幅,9.98
涨跌,0.86
总手,25293
金额,23941928.8
换手,1.44
量比,0.57
最高,9.48
最低,9.4
今开,9.4
昨收,8.62
涨停,9.48
跌停,7.76
外盘,3936
内盘,21357
