item,value
sell_5,17.31
sell_5_vol,4000
sell_4,17.3
sell_4_vol,25500
sell_3,17.29
sell_3_vol,2900
sell_2,17.28
sell_2_vol,3800
sell_1,17.27
sell_1_vol,232500
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,17.27
均价,17.66
涨幅,-5.01
涨跌,-0.91
总手,67997
金额,120065532.0
换手,5.23
量比,0.79
最高,18.22
最低,17.27
今开,18.15
昨收,18.18
涨停,19.09
跌停,17.27
外盘,27011
内盘,40986
