item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,28.92
buy_1_vol,1682400
buy_2,28.91
buy_2_vol,500
buy_3,28.9
buy_3_vol,4700
buy_4,28.88
buy_4_vol,100
buy_5,28.87
buy_5_vol,500
最新,28.92
均价,27.65
涨幅,20.0
涨跌,4.82
总手,48205
金额,133267420.8
换手,6.03
量比,1.57
最高,28.92
最低,24.33
今开,24.39
昨收,24.1
涨停,28.92
跌停,19.28
外盘,13252
内盘,34953
