item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.49
buy_1_vol,12289100
buy_2,2.48
buy_2_vol,141300
buy_3,2.47
buy_3_vol,64800
buy_4,2.46
buy_4_vol,66800
buy_5,2.45
buy_5_vol,23400
最新,2.49
均价,2.45
涨幅,10.18
涨跌,0.23
总手,147184
金额,36058611.78
换手,1.33
量比,1.0
最高,2.49
最低,2.28
今开,2.3
昨收,2.26
涨停,2.49
跌停,2.03
外盘,40498
内盘,106686
