item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,10.57
buy_1_vol,7241400
buy_2,10.56
buy_2_vol,105400
buy_3,10.55
buy_3_vol,1500
buy_4,10.54
buy_4_vol,51700
buy_5,10.53
buy_5_vol,160400
最新,10.57
均价,10.21
涨幅,9.99
涨跌,0.96
总手,1315108
金额,1342998883.2
换手,18.11
量比,1.54
最高,10.57
最低,9.58
今开,9.75
昨收,9.61
涨停,10.57
跌停,8.65
外盘,802412
内盘,512696
