item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,31.39
buy_1_vol,1446900
buy_2,31.38
buy_2_vol,30600
buy_3,31.37
buy_3_vol,5800
buy_4,31.36
buy_4_vol,200
buy_5,31.35
buy_5_vol,1000
最新,31.39
均价,30.52
涨幅,9.99
涨跌,2.85
总手,143784
金额,438791008.16
换手,5.55
量比,2.03
最高,31.39
最低,28.9
今开,28.9
昨收,28.54
涨停,31.39
跌停,25.69
外盘,79097
内盘,64687
