item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,9.57
buy_1_vol,11673600
buy_2,9.56
buy_2_vol,33700
buy_3,9.55
buy_3_vol,7400
buy_4,9.54
buy_4_vol,2200
buy_5,9.53
buy_5_vol,3600
最新,9.57
均价,9.12
涨幅,10.0
涨跌,0.87
总手,1074671
金额,980568309.68
换手,17.86
量比,7.48
最高,9.57
最低,8.74
今开,9.04
昨收,8.7
涨停,9.57
跌停,7.83
外盘,548544
内盘,526127
