item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.02
buy_1_vol,2698600
buy_2,2.01
buy_2_vol,201100
buy_3,2.0
buy_3_vol,318600
buy_4,1.99
buy_4_vol,241200
buy_5,1.98
buy_5_vol,187800
最新,2.02
均价,2.0
涨幅,9.78
涨跌,0.18
总手,215797
金额,43208032.0
换手,1.64
量比,1.13
最高,2.02
最低,1.88
今开,1.9
昨收,1.84
涨停,2.02
跌停,1.66
外盘,77250
内盘,138547
