item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,7.99
buy_1_vol,8876800
buy_2,7.98
buy_2_vol,27600
buy_3,7.97
buy_3_vol,3300
buy_4,7.96
buy_4_vol,700
buy_5,7.95
buy_5_vol,8800
最新,7.99
均价,7.71
涨幅,10.06
涨跌,0.73
总手,304035
金额,234344562.4
换手,1.87
量比,2.23
最高,7.99
最低,7.43
今开,7.75
昨收,7.26
涨停,7.99
跌停,6.53
外盘,178928
内盘,125107
