item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,5.43
buy_1_vol,489300
buy_2,5.42
buy_2_vol,27500
buy_3,5.41
buy_3_vol,8300
buy_4,5.4
buy_4_vol,49000
buy_5,5.39
buy_5_vol,47300
最新,5.43
均价,5.37
涨幅,5.03
涨跌,0.26
总手,204810
金额,109922497.0
换手,4.1
量比,1.43
最高,5.43
最低,5.19
今开,5.2
昨收,5.17
涨停,5.43
跌停,4.91
外盘,81352
内盘,123458
