item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,12.23
buy_1_vol,3379700
buy_2,12.22
buy_2_vol,7400
buy_3,12.21
buy_3_vol,1200
buy_4,12.2
buy_4_vol,2900
buy_5,12.19
buy_5_vol,200
最新,12.23
均价,11.73
涨幅,9.98
涨跌,1.11
总手,283531
金额,332469143.5
换手,7.84
量比,1.0
最高,12.23
最低,11.12
今开,11.12
昨收,11.12
涨停,12.23
跌停,10.01
外盘,139820
内盘,143711
