item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.02
buy_1_vol,27909200
buy_2,1.01
buy_2_vol,162200
buy_3,1.0
buy_3_vol,202200
buy_4,0.99
buy_4_vol,147900
buy_5,0.98
buy_5_vol,120900
最新,1.02
均价,1.02
涨幅,5.15
涨跌,0.05
总手,21060
金额,2148127.14
换手,0.27
量比,1.37
最高,1.02
最低,1.02
今开,1.02
昨收,0.97
涨停,1.02
跌停,0.92
外盘,-
内盘,21060
