item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,1.41
sell_4_vol,5295800
sell_3,1.4
sell_3_vol,3888900
sell_2,1.39
sell_2_vol,2536500
sell_1,1.38
sell_1_vol,2808600
buy_1,1.37
buy_1_vol,875400
buy_2,1.36
buy_2_vol,1202700
buy_3,1.35
buy_3_vol,732900
buy_4,1.34
buy_4_vol,932700
buy_5,1.33
buy_5_vol,592500
最新,1.38
均价,1.35
涨幅,7.81
涨跌,0.1
总手,651477
金额,87988660.53
换手,4.58
量比,1.46
最高,1.39
最低,1.29
今开,1.29
昨收,1.28
涨停,1.41
跌停,1.15
外盘,448588
内盘,202889
