item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.26
buy_1_vol,2417500
buy_2,2.25
buy_2_vol,67500
buy_3,2.24
buy_3_vol,11400
buy_4,2.23
buy_4_vol,16000
buy_5,2.22
buy_5_vol,13000
最新,2.26
均价,2.26
涨幅,5.12
涨跌,0.11
总手,49037
金额,11065348.0
换手,0.84
量比,0.28
最高,2.26
最低,2.23
今开,2.25
昨收,2.15
涨停,2.26
跌停,2.04
外盘,20541
内盘,28496
