item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.88
buy_1_vol,345400
buy_2,2.87
buy_2_vol,80200
buy_3,2.86
buy_3_vol,121600
buy_4,2.85
buy_4_vol,89000
buy_5,2.84
buy_5_vol,154200
最新,2.88
均价,2.82
涨幅,5.11
涨跌,0.14
总手,834396
金额,235470772.0
换手,11.93
量比,1.2
最高,2.88
最低,2.69
今开,2.71
昨收,2.74
涨停,2.88
跌停,2.6
外盘,438621
内盘,395775
