item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,36.48
buy_1_vol,911800
buy_2,36.47
buy_2_vol,1700
buy_3,36.4
buy_3_vol,500
buy_4,36.3
buy_4_vol,1800
buy_5,36.2
buy_5_vol,300
最新,36.48
均价,35.15
涨幅,20.0
涨跌,6.08
总手,219366
金额,771017700.92
换手,44.95
量比,6.48
最高,36.48
最低,33.36
今开,35.0
昨收,30.4
涨停,36.48
跌停,24.32
外盘,119816
内盘,99551
