item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,3.93
sell_2_vol,42500
sell_1,3.92
sell_1_vol,239000
buy_1,3.91
buy_1_vol,182000
buy_2,3.9
buy_2_vol,84000
buy_3,3.89
buy_3_vol,56300
buy_4,3.88
buy_4_vol,80500
buy_5,3.87
buy_5_vol,5100
最新,3.92
均价,3.79
涨幅,9.8
涨跌,0.35
总手,383969
金额,145478608.0
换手,7.39
量比,4.9
最高,3.93
最低,3.51
今开,3.53
昨收,3.57
涨停,3.93
跌停,3.21
外盘,205977
内盘,177992
