item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,36.23
buy_1_vol,3888700
buy_2,36.22
buy_2_vol,2600
buy_3,36.2
buy_3_vol,700
buy_4,36.18
buy_4_vol,800
buy_5,36.06
buy_5_vol,200
最新,36.23
均价,35.35
涨幅,20.01
涨跌,6.04
总手,28509
金额,100783077.32
换手,9.38
量比,3.62
最高,36.23
最低,29.95
今开,30.12
昨收,30.19
涨停,36.23
跌停,24.15
外盘,10042
内盘,18467
