item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,23.08
buy_1_vol,2238300
buy_2,23.07
buy_2_vol,6300
buy_3,23.06
buy_3_vol,200
buy_4,23.04
buy_4_vol,200
buy_5,23.01
buy_5_vol,1000
最新,23.08
均价,22.79
涨幅,10.01
涨跌,2.1
总手,34476
金额,78558875.0
换手,1.32
量比,1.39
最高,23.08
最低,21.18
今开,21.18
昨收,20.98
涨停,23.08
跌停,18.88
外盘,9242
内盘,25234
