item,value
sell_5,6.82
sell_5_vol,68000
sell_4,6.81
sell_4_vol,138300
sell_3,6.8
sell_3_vol,224900
sell_2,6.79
sell_2_vol,211800
sell_1,6.78
sell_1_vol,27054100
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,6.78
均价,6.86
涨幅,-9.96
涨跌,-0.75
总手,2046749
金额,1403793104.0
换手,15.74
量比,2.26
最高,7.17
最低,6.78
今开,6.87
昨收,7.53
涨停,8.28
跌停,6.78
外盘,1259319
内盘,787429
