item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.51
buy_1_vol,340400
buy_2,1.5
buy_2_vol,346400
buy_3,1.49
buy_3_vol,84600
buy_4,1.48
buy_4_vol,347500
buy_5,1.47
buy_5_vol,153300
最新,1.51
均价,1.49
涨幅,4.86
涨跌,0.07
总手,103459
金额,15407824.0
换手,1.74
量比,1.52
最高,1.51
最低,1.45
今开,1.46
昨收,1.44
涨停,1.51
跌停,1.37
外盘,60587
内盘,42872
