item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,20.6
buy_1_vol,7131600
buy_2,20.59
buy_2_vol,121800
buy_3,20.58
buy_3_vol,3100
buy_4,20.57
buy_4_vol,5800
buy_5,20.56
buy_5_vol,1600
最新,20.6
均价,19.72
涨幅,9.98
涨跌,1.87
总手,790719
金额,1558938013.05
换手,5.82
量比,1.88
最高,20.6
最低,18.5
今开,18.98
昨收,18.73
涨停,20.6
跌停,16.86
外盘,302841
内盘,487878
