item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,2.36
sell_4_vol,335000
sell_3,2.35
sell_3_vol,533000
sell_2,2.34
sell_2_vol,137100
sell_1,2.33
sell_1_vol,140400
buy_1,2.32
buy_1_vol,900
buy_2,2.31
buy_2_vol,70800
buy_3,2.3
buy_3_vol,116600
buy_4,2.29
buy_4_vol,233900
buy_5,2.28
buy_5_vol,45600
最新,2.32
均价,2.28
涨幅,3.11
涨跌,0.07
总手,90813
金额,20739217.0
换手,0.28
量比,1.33
最高,2.32
最低,2.21
今开,2.21
昨收,2.25
涨停,2.36
跌停,2.14
外盘,46983
内盘,43830
