item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.22
buy_1_vol,4608800
buy_2,2.21
buy_2_vol,267000
buy_3,2.2
buy_3_vol,139200
buy_4,2.19
buy_4_vol,42100
buy_5,2.18
buy_5_vol,81700
最新,2.22
均价,2.2
涨幅,5.21
涨跌,0.11
总手,132215
金额,29125922.0
换手,1.94
量比,1.62
最高,2.22
最低,2.13
今开,2.13
昨收,2.11
涨停,2.22
跌停,2.0
外盘,51418
内盘,80797
