item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,59.48
buy_1_vol,715100
buy_2,59.47
buy_2_vol,2800
buy_3,59.45
buy_3_vol,200
buy_4,59.43
buy_4_vol,400
buy_5,59.4
buy_5_vol,300
最新,59.48
均价,58.83
涨幅,10.01
涨跌,5.41
总手,39934
金额,234953036.11
换手,2.54
量比,1.32
最高,59.48
最低,54.05
今开,54.08
昨收,54.07
涨停,59.48
跌停,48.66
外盘,22907
内盘,17027
