item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,2.26
sell_1_vol,426400
buy_1,2.25
buy_1_vol,8500
buy_2,2.24
buy_2_vol,23300
buy_3,2.23
buy_3_vol,21300
buy_4,2.22
buy_4_vol,12300
buy_5,2.21
buy_5_vol,5500
最新,2.26
均价,2.23
涨幅,5.12
涨跌,0.11
总手,18505
金额,4126623.0
换手,0.91
量比,1.12
最高,2.26
最低,2.14
今开,2.17
昨收,2.15
涨停,2.26
跌停,2.04
外盘,15397
内盘,3108
