item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.44
buy_1_vol,630800
buy_2,1.43
buy_2_vol,267600
buy_3,1.42
buy_3_vol,146400
buy_4,1.41
buy_4_vol,109700
buy_5,1.4
buy_5_vol,321300
最新,1.44
均价,1.42
涨幅,5.11
涨跌,0.07
总手,137263
金额,19470581.0
换手,2.8
量比,1.26
最高,1.44
最低,1.37
今开,1.37
昨收,1.37
涨停,1.44
跌停,1.3
外盘,82346
内盘,54916
