item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,5.26
buy_1_vol,888500
buy_2,5.25
buy_2_vol,76400
buy_3,5.24
buy_3_vol,44800
buy_4,5.22
buy_4_vol,18500
buy_5,5.21
buy_5_vol,15600
最新,5.26
均价,5.23
涨幅,4.99
涨跌,0.25
总手,194125
金额,101463098.38
换手,6.01
量比,0.67
最高,5.26
最低,4.99
今开,4.99
昨收,5.01
涨停,5.26
跌停,4.76
外盘,64400
内盘,129724
