item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,1.3
sell_3_vol,4064100
sell_2,1.29
sell_2_vol,1650600
sell_1,1.28
sell_1_vol,2376800
buy_1,1.27
buy_1_vol,83300
buy_2,1.26
buy_2_vol,1606000
buy_3,1.25
buy_3_vol,859100
buy_4,1.24
buy_4_vol,426000
buy_5,1.23
buy_5_vol,252000
最新,1.28
均价,1.26
涨幅,3.23
涨跌,0.04
总手,184651
金额,23340781.91
换手,0.2
量比,1.06
最高,1.28
最低,1.24
今开,1.25
昨收,1.24
涨停,1.3
跌停,1.18
外盘,107778
内盘,76873
