item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,20.36
buy_1_vol,2583600
buy_2,20.35
buy_2_vol,8700
buy_3,20.34
buy_3_vol,9200
buy_4,20.33
buy_4_vol,2500
buy_5,20.32
buy_5_vol,2600
最新,20.36
均价,20.01
涨幅,9.99
涨跌,1.85
总手,857738
金额,1716431556.06
换手,34.93
量比,1.13
最高,20.36
最低,19.2
今开,19.25
昨收,18.51
涨停,20.36
跌停,16.66
外盘,407222
内盘,450516
