item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,6.07
buy_1_vol,2113500
buy_2,6.06
buy_2_vol,2000
buy_3,6.05
buy_3_vol,9100
buy_4,6.04
buy_4_vol,30800
buy_5,6.03
buy_5_vol,9200
最新,6.07
均价,6.01
涨幅,9.96
涨跌,0.55
总手,55839
金额,33583324.88
换手,2.42
量比,2.9
最高,6.07
最低,5.79
今开,5.86
昨收,5.52
涨停,6.07
跌停,4.97
外盘,15409
内盘,40430
