item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,14.4
buy_1_vol,1055000
buy_2,14.39
buy_2_vol,600
buy_3,14.38
buy_3_vol,9500
buy_4,14.37
buy_4_vol,9800
buy_5,14.36
buy_5_vol,5500
最新,14.4
均价,14.19
涨幅,10.01
涨跌,1.31
总手,338668
金额,480505388.0
换手,14.64
量比,9.53
最高,14.4
最低,13.24
今开,13.55
昨收,13.09
涨停,14.4
跌停,11.78
外盘,93884
内盘,244784
