item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.05
buy_1_vol,1903400
buy_2,1.04
buy_2_vol,444100
buy_3,1.03
buy_3_vol,397700
buy_4,1.02
buy_4_vol,395500
buy_5,1.01
buy_5_vol,109300
最新,1.05
均价,1.04
涨幅,5.0
涨跌,0.05
总手,156586
金额,16238159.0
换手,2.17
量比,0.53
最高,1.05
最低,0.98
今开,0.99
昨收,1.0
涨停,1.05
跌停,0.95
外盘,87904
内盘,68681
