item,value
sell_5,3.21
sell_5_vol,299200
sell_4,3.2
sell_4_vol,34300
sell_3,3.19
sell_3_vol,73000
sell_2,3.18
sell_2_vol,219500
sell_1,3.17
sell_1_vol,595000
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,3.17
均价,3.21
涨幅,-5.09
涨跌,-0.17
总手,395835
金额,127209884.0
换手,3.84
量比,0.87
最高,3.39
最低,3.17
今开,3.33
昨收,3.34
涨停,3.51
跌停,3.17
外盘,121562
内盘,274274
