item,value
sell_5,22.5
sell_5_vol,6200
sell_4,22.42
sell_4_vol,500
sell_3,22.4
sell_3_vol,1800
sell_2,22.3
sell_2_vol,13600
sell_1,22.28
sell_1_vol,2300
buy_1,22.27
buy_1_vol,12100
buy_2,22.26
buy_2_vol,203200
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,22.28
均价,23.21
涨幅,-9.91
涨跌,-2.45
总手,245680
金额,570169871.0
换手,25.27
量比,6.16
最高,27.2
最低,22.26
今开,27.2
昨收,24.73
涨停,27.2
跌停,22.26
外盘,71983
内盘,173697
