item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,145.87
buy_1_vol,73100
buy_2,145.86
buy_2_vol,72100
buy_3,145.85
buy_3_vol,7100
buy_4,145.84
buy_4_vol,500
buy_5,145.83
buy_5_vol,1100
最新,145.87
均价,142.22
涨幅,10.0
涨跌,13.26
总手,750635
金额,10675789482.0
换手,4.97
量比,3.79
最高,145.87
最低,132.88
今开,132.88
昨收,132.61
涨停,145.87
跌停,119.35
外盘,418824
内盘,331811
