item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,27.18
buy_1_vol,461900
buy_2,27.17
buy_2_vol,10100
buy_3,27.11
buy_3_vol,2200
buy_4,27.1
buy_4_vol,20000
buy_5,27.05
buy_5_vol,100
最新,27.18
均价,26.58
涨幅,10.0
涨跌,2.47
总手,178851
金额,475349019.46
换手,10.41
量比,3.65
最高,27.18
最低,25.05
今开,25.05
昨收,24.71
涨停,27.18
跌停,22.24
外盘,88121
内盘,90730
