item,value
sell_5,0.96
sell_5_vol,1131400
sell_4,0.95
sell_4_vol,613900
sell_3,0.94
sell_3_vol,278800
sell_2,0.93
sell_2_vol,573200
sell_1,0.92
sell_1_vol,33457900
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,0.92
均价,0.92
涨幅,-5.15
涨跌,-0.05
总手,155693
金额,14323756.0
换手,0.87
量比,0.23
最高,0.92
最低,0.92
今开,0.92
昨收,0.97
涨停,1.02
跌停,0.92
外盘,153101
内盘,2592
