item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.34
buy_1_vol,401100
buy_2,2.33
buy_2_vol,28100
buy_3,2.32
buy_3_vol,50400
buy_4,2.31
buy_4_vol,66700
buy_5,2.3
buy_5_vol,55700
最新,2.34
均价,2.31
涨幅,4.93
涨跌,0.11
总手,99509
金额,22954939.0
换手,2.77
量比,0.64
最高,2.34
最低,2.24
今开,2.25
昨收,2.23
涨停,2.34
跌停,2.12
外盘,62423
内盘,37086
