item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.54
buy_1_vol,4672800
buy_2,2.53
buy_2_vol,19800
buy_3,2.52
buy_3_vol,4100
buy_4,2.51
buy_4_vol,76800
buy_5,2.5
buy_5_vol,82000
最新,2.54
均价,2.51
涨幅,9.96
涨跌,0.23
总手,238805
金额,59923672.04
换手,6.52
量比,1.6
最高,2.54
最低,2.4
今开,2.43
昨收,2.31
涨停,2.54
跌停,2.08
外盘,114936
内盘,123869
